subref	form	norm	lemma	tag	curated
5.5@τὸν	τὸν	τόν			n
5.5@υἱὸν	υἱὸν	υἱόν			n
5.5@θεασαμένη	θεασαμένη	θεασαμένη			n
5.5@ἐπύθετο	ἐπύθετο	ἐπύθετο			n
5.5@τί	τί	τί			n
5.5@πράττει	πράττει	πράττει			n
5.5@ἡ	ἡ	ἡ			n
5.5@πατρίς	πατρίς	πατρίς			n
5.5@εἰπόντος	εἰπόντος	εἰπόντος			n
5.5@δέ	δέ	δέ			n
5.5@πάντες	πάντες	πάντες			n
5.5@ἀπολώλασι	ἀπολώλασι	ἀπολώλασι			n
5.5@κεραμίδα	κεραμίδα	κεραμίδα			n
5.5@ἄρασα	ἄρασα	ἄρασα			n
5.5@ἐπαφῆκεν	ἐπαφῆκεν	ἐπαφῆκεν			n
5.5@αὐτῷ	αὐτῷ	αὐτῷ			n
5.5@καὶ	καὶ	καί			n
5.5@ἀνεῖλεν	ἀνεῖλεν	ἀνεῖλεν			n
5.5@εἰποῦσα	εἰποῦσα	εἰποῦσα			n
5.5@σὲ	σὲ	σέ			n
5.5@οὖν	οὖν	οὖν			n
5.5@κακάγγελον	κακάγγελον	κακάγγελον			n
